ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
130,LIM CHU KANG,1506,1858,1391,1340,0,0,0,0,0.8807567312995997,0.9582126143361707,0.9190799921239589,0.9754949699769387
131,LITTLE INDIA,4702,4396,3223,3239,0,0,0,0,0.6061101960443548,0.7150228899076676,0.7870348229840488,0.7500334477241666
132,LIU FANG,3492,3576,1815,1743,0,0,0,0,0.5179377817954277,0.4307854910470048,0.4679485398606048,0.3639978766681833
133,LORONG 8 TOA PAYOH,12776,12195,7591,7019,1,0,0,0,0.777691230120385,0.8417713571167539,0.709034882738756,0.8625334322363063
134,LORONG AH SOO,14278,14023,8195,8377,1,1,1,1,0.2520460306140484,0.2655678000772422,0.2012166928689946,0.27189187593058556
135,LORONG CHUAN,12461,12195,6850,6634,0,0,0,0,0.5552451383457858,0.6305684921382488,0.5110348230129687,0.5813458405504076
136,LORONG HALUS,1139,763,649,352,0,0,0,0,0.19573420016725726,0.9823702633201367,0.10333461428436935,0.974434003899354
137,LOWER SELETAR,8453,12785,4956,7726,0,0,0,1,0.9864285514450841,0.28855527202241,0.9681256736554471,0.2613013556018482
138,LOYANG EAST,4147,5846,1963,3518,0,0,0,0,0.898907798311795,0.4237782871992648,0.8024210594023422,0.37500196108740996
139,LOYANG WEST,8281,4851,4212,1925,0,0,0,0,0.5345287932970262,0.9047782640044489,0.5462351600202064,0.9864003483727853
140,MACKENZIE,7539,8799,5143,5814,0,0,0,0,0.7618201095728819,0.8625597657199641,0.4929633768848195,0.9857803559171259
141,MACPHERSON,14278,14023,8195,8377,1,1,1,1,0.5308129118951904,0.3500809722269129,0.42694596344481495,0.5792904588073086
142,MALCOLM,13642,13524,7647,7534,1,1,1,0,0.6862534998287491,0.5385690308500682,0.6725638446968366,0.574784275854267
143,MANDAI EAST,6777,4723,4296,3085,0,0,0,0,0.8395155405971395,0.9471967921376496,0.7645061440813952,0.9455065759939202
144,MANDAI ESTATE,3703,2423,2299,1419,0,0,0,0,0.8533542120738051,0.7533252019593344,0.8125252418172083,0.79693770226014
145,MANDAI WEST,2063,1403,1187,762,0,0,0,0,0.5349084419605795,0.9998725685271748,0.7981116876463101,0.9999955731051079
146,MARGARET DRIVE,12733,13524,7377,7726,0,1,0,1,0.7146832468729327,0.7253218588144601,0.9818537746043386,0.6069264648294671
147,MARINA CENTRE,14278,13942,8195,8377,1,1,1,1,0.7998011300318042,0.698168726453196,0.7070159569375242,0.6013123269088989
148,MARINA SOUTH,633,576,517,456,0,0,0,0,0.8588193275960532,0.998788132438055,0.0,0.0
149,MARINE PARADE,14278,14023,8195,8377,1,1,1,1,0.6633442420070415,0.6277919840500933,0.6392088292320748,0.5232335845701558
150,MARITIME SQUARE,14278,14023,8195,8377,1,1,1,1,0.7978784608894715,0.7421560408188461,0.7440568316544266,0.7768891525374924
151,MARYMOUNT,14278,14023,8195,8377,1,1,1,1,0.5144559873357363,0.6022888255365357,0.5442278607313379,0.6258784071383686
152,MATILDA,14278,14023,8195,8377,1,1,1,1,0.6224207955232139,0.6838478743737536,0.6679989768442677,0.6625468686510699
153,MAXWELL,2545,1526,1752,1004,0,0,0,0,0.4643176901630859,0.995948375560925,0.35504392961185643,0.9863165824606596
154,MEI CHIN,14278,14023,8195,8136,1,1,1,1,0.8400756354396581,0.3985811531711518,0.9968773567455864,0.40225116618393253
155,MIDVIEW,11312,12290,6470,7087,0,0,0,0,0.4520154907465897,0.5410035788735451,0.40203542205166665,0.4069291394825169
156,MONK'S HILL,2314,1670,1152,863,0,0,0,0,0.9136603332180568,0.46728735834234425,0.9909410771747917,0.4331177599388957
157,MOULMEIN,14278,14023,8195,8377,1,1,1,1,0.5430397164776694,0.45453164664338996,0.536923775787822,0.5059536318995468
158,MOUNT PLEASANT,9666,9236,4879,4459,0,0,0,0,0.8933367275180447,0.624231123532602,0.8519877067107652,0.7240366972979444
159,MOUNTBATTEN,11749,12587,6711,7385,0,0,0,0,0.48746837225214307,0.6982330352898266,0.4536356340650711,0.43155649362198634
160,NASSIM,13642,14023,8112,8136,1,1,1,1,0.5983208650098305,0.42590607411111586,0.7710758273543645,0.39030571025765476
161,NATIONAL UNIVERSITY OF S'PORE,14278,14023,7364,7566,1,1,0,0,0.390794312027987,0.5337729699284159,0.5448155713820158,0.6357776883864225
162,NATURE RESERVE,12232,12581,6977,7173,0,0,0,0,0.8325635746641913,0.7911840823286933,0.8495579325007252,0.7967140396007152
163,NEE SOON,5142,4321,3049,2356,0,0,0,0,0.7739894589113415,0.935448298011295,0.7432956689688656,0.9743983136365308
164,NEWTON CIRCUS,14278,14023,8195,8221,1,1,1,1,0.7262269237683644,0.7324597412999321,0.677183805766008,0.6678962520438497
165,NORTH COAST,13515,12781,8112,7874,1,0,1,1,0.8514152090370717,0.9911558517272242,0.8592848775514479,0.5535831641803448
166,NORTHLAND,8453,10710,4888,6238,0,0,0,0,0.7769217692222816,0.8407575206273425,0.7637099807035664,0.7981365423430421
167,NORTHSHORE,3965,4013,3361,3629,0,0,0,0,0.8366746072672617,0.5652038223733135,0.7391077556114957,0.4386862316753428
168,ONE NORTH,14278,14023,8112,7782,1,1,1,1,0.7936218320233189,0.7920088403690753,0.9644804084527324,0.7969660784843781
169,ONE TREE HILL,8415,8818,5012,5291,0,0,0,0,0.9459279735284318,0.7525855669395276,0.9435286993542933,0.7852029208174283
170,ORANGE GROVE,2555,1448,1701,826,0,0,0,0,0.18536880365104785,0.44387208447391896,0.35746725489091186,0.3131950471154111
171,OXLEY,3335,3718,2228,2511,0,0,0,0,0.8748211448967909,0.9590652007866002,0.9088477591432456,0.8492430788058647
172,PANDAN,6272,4380,2607,1895,0,0,0,0,0.6095663917012835,0.26557602748421333,0.7239830515191771,0.29666919701699496
173,PANG SUA,1606,1556,602,566,0,0,0,0,0.914891542072788,0.9989480137783907,0.9536518221880843,0.9996349529626211
174,PASIR PANJANG 1,14278,13524,8195,7644,1,1,1,0,0.5204933293927461,0.9096187810194252,0.5283133735525701,0.9934915543609986
175,PASIR PANJANG 2,11796,13524,4866,5827,0,1,0,0,0.35154991976746736,0.859040744633898,0.36952616950746436,0.8807802063180433
176,PASIR RIS CENTRAL,14278,14023,8195,8377,1,1,1,1,0.5461017615026065,0.741816641423236,0.5320973868919754,0.7428186201482355
177,PASIR RIS DRIVE,14278,14023,8195,8377,1,1,1,1,0.5102415727152242,0.29010023670106966,0.5082128673135238,0.2867586112070185
178,PASIR RIS PARK,5506,8116,3433,5388,0,0,0,0,0.07822143742408902,0.7310635919730267,0.07439467861002744,0.6017517662086372
179,PASIR RIS WAFER FAB PARK,6813,2858,3991,1620,0,0,0,0,0.6771555983151519,0.3437453386762899,0.6389649010294385,0.42738914247005017
180,PASIR RIS WEST,14278,14023,8195,8377,1,1,1,1,0.3829219702560939,0.4660142453326147,0.4167340607169976,0.5093307064900033
181,PATERSON,7417,10398,5717,6817,0,0,0,0,0.8253855684341249,0.9494106198735037,0.6942280538660615,0.9416894815199968
182,PAYA LEBAR EAST,2333,2627,1125,1261,0,0,0,0,0.0009628635086423359,0.8878734149334455,0.17707320909798702,0.8630635946204891
183,PAYA LEBAR NORTH,6518,5620,4225,3540,0,0,0,0,0.3114393543261401,0.6897777637913856,0.33028113000346493,0.5332867012261884
184,PAYA LEBAR WEST,1972,1506,731,570,0,0,0,0,0.34820781817235597,0.8738007694207074,0.3784510236420387,0.8350543639731615
185,PEARL'S HILL,12981,13524,7591,8136,1,1,0,1,0.642822228134759,0.6195880394617467,0.6734380159549778,0.6217292102713967
186,PEI CHUN,4702,8081,2771,4649,0,0,0,0,0.11159001153402638,0.679017766399848,0.5485834359075237,0.6789485067300445
187,PENG SIANG,13435,9559,8112,5679,1,0,1,0,0.3925904678800402,0.6780762349261333,0.40117095325161234,0.623109534646724
188,PENJURU CRESCENT,2619,3576,1307,1775,0,0,0,0,0.028211320164395152,0.20396204037214075,0.021783846525815467,0.29278802414007765
189,PEOPLE'S PARK,14278,14023,8195,8377,1,1,1,1,0.6425945165179738,0.4179176451369749,0.7878218763298802,0.4119751228291574
190,PHILLIP,2052,220,643,44,0,0,0,0,0.7127884685516956,0.0,0.5797636754064797,0.0
191,PIONEER SECTOR,958,1340,538,734,0,0,0,0,0.0,0.0,0.0,0.0
