node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
WOODLANDS SOUTH,6777,10897,3597,6380,0,0,0,0
WOODLANDS WEST,14278,14023,8195,8377,1,1,1,1
WOODLEIGH,9851,5625,5284,3060,0,0,0,0
XILIN,14278,14023,7579,7726,1,1,0,1
YEW TEE,13435,13414,8112,7874,1,0,1,1
YIO CHU KANG,14278,14023,8195,8218,1,1,1,1
YIO CHU KANG EAST,10927,9068,3991,3645,0,0,0,0
YIO CHU KANG NORTH,4381,9906,1859,4967,0,0,0,0
YIO CHU KANG WEST,14278,12669,8195,7616,1,0,1,0
YISHUN CENTRAL,14278,14023,8195,8377,1,1,1,1
YISHUN EAST,10321,12575,6239,7596,0,0,0,0
YISHUN SOUTH,10321,14023,6239,8377,0,1,0,1
YISHUN WEST,14278,14023,8195,8377,1,1,1,1
YUHUA EAST,14278,14023,8195,8136,1,1,1,1
YUHUA WEST,14278,14023,8112,8136,1,1,1,1
YUNNAN,14278,14023,8112,8232,1,1,1,1
