ind,node,cal_dc_spreader,cal_hh,cal_pr_spreader,cal_dc_receiver,cal_ha,cal_pr_receiver
74,KATONG,0.16731411624659345,0.1636922883765433,0.1628731144745969,0.22982307570781904,0.2245558336305011,0.21937585630814344
75,PASIR RIS PARK,0.06633041924731153,0.06718168027730237,0.06694409192389555,0.07293196655467746,0.07535293701425132,0.06745275123937164
76,TANJONG RHU,0.25933958852876493,0.24425862567772166,0.24687459374761808,0.2566415907925013,0.24475154391070086,0.2422916055844454
77,FLORA DRIVE,0.09160343584604809,0.10855514029322683,0.0869193043118237,0.11421642673480564,0.13926377906808615,0.1066365774863977
78,MOUNTBATTEN,0.19604510633988356,0.17267639951481104,0.1892183207052271,0.1808848054200794,0.16508313626373528,0.17476788682648678
79,DEFU INDUSTRIAL PARK,0.15458333956990278,0.1429404360749635,0.16767913983006627,0.2095196300890899,0.18287028371142883,0.19843908433114998
80,KAMPONG BUGIS,0.20527567086387474,0.15140029454921383,0.20573576118101428,0.16375767379545436,0.1548857860154067,0.1555932237290308
81,TAMPINES NORTH,0.06932019188578396,0.08883271382974393,0.0610401188727211,0.19596916104907597,0.20360969111256785,0.19169700622143407
82,LOYANG WEST,0.05718385855517214,0.051819347045237885,0.06655396433070582,0.1455668826472265,0.16254668317141385,0.13797568237497573
83,CHANGI WEST,0.10388895390566423,0.12323110201953306,0.08649407118309879,0.11390696710678172,0.14552330815829573,0.11046266412703058
84,BAYSHORE,0.1671240298473213,0.15336341314601404,0.11885565580101914,0.027055715911880315,0.03188255097490656,0.024356974773053215
85,SIGLAP,0.17749011295572525,0.1463130358169619,0.13679785465859134,0.07693158038685263,0.08274859630897333,0.070823658693209
86,PAYA LEBAR NORTH,0.19006383569231733,0.18451776100755193,0.18540569108721383,0.11014057465092401,0.13293578613707696,0.10745706993423436
87,AIRPORT ROAD,0.05459863846725931,0.051340035523982974,0.052442025716883424,0.12079123357330263,0.11339872365700242,0.11682547327638297
88,LOYANG EAST,0.1076544081895805,0.12436920288388797,0.10045884775945367,0.06351503098265529,0.07477261070606181,0.06676811656109263
89,PASIR RIS WAFER FAB PARK,0.0,0.0,0.0,0.1782891178352012,0.15912256623935467,0.17682796973279372
90,CHANGI POINT,0.12919862297805507,0.13530764294827596,0.1284096604598498,0.1500417028167974,0.17087630212752403,0.1463166632338381
91,PAYA LEBAR WEST,0.04714849582642193,0.059826129979868026,0.06457067081996837,0.06739668108176562,0.05392885779154869,0.0810808748397413
92,PAYA LEBAR EAST,0.11829077327252721,0.10492639848580027,0.10442030641569296,0.007264521631618953,0.00863994462236049,0.006519360095931654
93,PLAB,0.1404101297999294,0.11689804851530834,0.10384407193519467,0.052579594114795555,0.07172931566285776,0.05711862368776966
94,LORONG HALUS,0.0,0.0,0.0,0.02410166550856591,0.027079686794561506,0.0
95,SENGKANG TOWN CENTRE,0.416642232656295,0.3621723046988184,0.38556629265375736,0.42282297689716836,0.36474914535803526,0.3931482891253945
96,HOUGANG CENTRAL,0.3932164866705352,0.3234913103243846,0.3710586173991381,0.3664071940690393,0.30987438706118375,0.34228947929453624
97,BISHAN EAST,0.4827900280919859,0.43474192892394886,0.4646703094696556,0.422383272000869,0.3787559066902554,0.3983565619877273
98,MATILDA,0.35824093209724833,0.3053875693990348,0.33773474301460077,0.3759196994116056,0.33291709078960036,0.35182632782309986
99,HOUGANG WEST,0.3022053755566951,0.24489166422542674,0.2781137117993249,0.3101625327056831,0.2671262807811838,0.290011469195289
100,RIVERVALE,0.2891458912014777,0.25572962150054157,0.2699624165950448,0.3537375873225965,0.3528497093094397,0.3282444890655208
